team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
North Melbourne,2023,12,"Simpkin, Jy",18,194,48,178,372,20.67,9,4,0,71,12,69,76,68,18,26,0,158,224,1,5,31,9,5
North Melbourne,2023,29,"Phillips, Will",16,113,28,188,301,18.81,3,2,0,66,17,44,63,39,13,9,1,133,176,2,3,11,3,9
North Melbourne,2023,13,"Tucker, Darcy",18,165,76,128,293,16.28,6,2,0,28,37,46,20,45,10,14,0,82,218,4,5,15,10,7
North Melbourne,2023,4,"Corr, Aidan",19,206,93,81,287,15.11,1,0,0,23,89,8,4,38,12,17,0,65,182,10,0,120,8,0
North Melbourne,2023,14,"Shiels, Liam",16,139,66,144,283,17.69,3,3,0,88,21,50,41,47,12,17,0,103,180,5,3,20,0,4
North Melbourne,2023,22,"Goldstein, Todd",20,99,45,161,260,13.0,4,2,584,38,23,35,73,56,34,28,0,173,97,18,3,70,0,9
North Melbourne,2023,44,"Zurhaar, Cameron",16,159,39,99,258,16.13,20,19,0,36,9,75,33,57,20,21,2,114,146,9,9,16,6,15
North Melbourne,2023,26,"Thomas, Tarryn",12,125,31,110,235,19.58,11,4,0,57,17,50,51,34,11,15,5,111,121,2,9,20,6,9
North Melbourne,2023,23,"McKay, Ben",19,146,113,86,232,12.21,0,0,0,22,37,7,3,36,11,16,0,89,143,29,0,92,3,0
North Melbourne,2023,24,"Powell, Tom",14,94,39,136,230,16.43,7,4,0,27,10,41,27,43,2,8,0,65,167,0,3,10,12,5
North Melbourne,2023,2,"Stephenson, Jaidyn",21,146,75,80,226,10.76,26,10,1,41,9,47,9,40,7,12,0,69,160,5,18,13,11,9
North Melbourne,2023,5,"Taylor, Curtis",16,148,76,73,221,13.81,9,7,0,30,15,35,10,37,12,10,0,59,168,6,13,15,2,4
North Melbourne,2023,20,"Larkey, Nick",23,152,97,64,216,9.39,71,24,3,17,1,25,2,39,29,15,7,96,124,26,64,48,4,7
North Melbourne,2023,18,"Greenwood, Hugh",14,66,29,135,201,14.36,3,4,14,69,3,16,45,37,8,15,0,134,72,10,3,23,0,4
North Melbourne,2023,25,"Curtis, Paul",21,124,54,75,199,9.48,17,14,0,49,5,42,9,53,7,27,0,100,103,13,15,23,1,19
